,Country_Region,Population Density (per sq. km),HDI,hospibed,Age Dependency Ratio (65+/Working Age),Physician_per_thousand,cluster
1,Albania,104.6122628,0.785,2.9,18.997890337666306,1.65,2
2,Algeria,17.73007507,0.754,1.9,9.62836054340959,1.83,2
3,Antigua and Barbuda,218.8318182,0.78,3.8,10.0219655636647,3.03,2
8,Azerbaijan,120.2653199,0.757,4.7,8.51116157728265,3.99,2
9,Bahamas,38.52547453,0.807,2.9,12.7509608214306,2.7158,2
10,Bahrain,2017.2737,0.846,6.8,3.04468036618035,1.315,2
15,Belize,16.79399386,0.708,1.3,5.95213551159089,1.1494,2
18,Bolivia,10.48014585,0.693,1.1,10.8728267092337,1.6111,2
20,Brazil,25.06171624,0.759,2.2,12.270187640806,2.1502,2
21,Brunei,81.39696395,0.853,2.7,6.3420041764417805,1.7701,2
30,Chile,25.18944607,0.843,2.2,16.1618782912402,1.153,2
31,China,148.34883330000005,0.752,4.2,14.8453642785515,1.7855,2
32,Colombia,44.74870212,0.747,1.5,11.102014041498599,2.0835,2
35,Costa Rica,97.91306306,0.794,1.2,13.744117201445,1.719,2
43,Dominica,95.5,0.715,3.8,10.91,1.7791,2
44,Dominican Republic,219.9785759,0.736,1.6,10.9548357456772,2.156,2
45,Ecuador,68.78868175,0.752,1.5,11.021329830090401,2.1219,2
46,Egypt,98.87346929,0.696,1.6,8.40644146531903,2.83,2
47,El Salvador,309.8814672,0.674,1.3,12.856531625262802,1.8889,2
51,Fiji,48.35703339,0.741,2.3,9.53118579234049,0.8374,2
54,Gabon,8.224764233,0.7020000000000001,6.3,7.46101850663731,0.518,2
60,Grenada,327.8058824,0.772,3.7,11.0081484898039,1.4471,2
61,Guatemala,160.9537794,0.65,0.6,7.79015573580197,1.1,2
69,India,454.9380726,0.64,0.7,9.04291539256713,1.2252,2
70,Indonesia,147.75219009999995,0.6940000000000001,1.2,7.90128861853176,0.3777,2
71,Iran,50.22242012,0.7979999999999999,1.5,7.67524931556003,1.4862,2
72,Iraq,88.53057004,0.685,1.4,5.646788919446322,0.8607,2
76,Jamaica,270.9930748,0.732,1.7,14.3275579732883,1.401,2
78,Jordan,112.1424983,0.735,1.4,6.278502382434441,2.8407,2
79,Kazakhstan,6.769825907,0.8,6.7,10.7422036054811,3.976,2
82,Kuwait,232.1722222,0.8029999999999999,2.0,3.0630854784298904,2.588,2
85,Lebanon,669.4941349,0.757,2.9,12.4481416570776,3.4242,2
87,Libya,3.795632381,0.706,3.7,6.56156393387617,2.1581,2
91,Malaysia,95.96282149,0.802,1.9,9.06796688360189,1.5132,2
92,Maldives,1718.986667,0.7170000000000001,4.3,5.68481172381732,3.1381,2
96,Mauritius,623.3019704,0.79,3.4,15.488672501807196,2.0246,2
97,Mexico,64.91462641,0.774,1.5,10.3156576798848,2.893,2
98,Moldova,123.5198035,0.7,5.8,14.801133801208598,3.631,2
99,Mongolia,2.040608667,0.741,7.0,6.0796910943954,3.2426,2
101,Morocco,80.72851893,0.667,1.1,10.2815010345619,0.7273,2
107,Nicaragua,53.72704836,0.6579999999999999,0.9,8.31014092182165,1.0056,2
111,Oman,15.6041454,0.821,1.6,3.10559112210406,2.1841,2
113,Panama,56.18607748,0.789,2.3,12.239367852722197,1.793,2
114,Paraguay,17.50835892,0.7020000000000001,1.3,9.93146958399857,1.366,2
115,Peru,24.99160625,0.75,1.6,10.9241444251795,1.6672,2
116,Philippines,357.6883053,0.6990000000000001,1.0,7.565405387161139,1.275,2
119,Qatar,239.5931955,0.856,1.2,1.54087527719851,3.8877,2
123,Saint Vincent and the Grenadines,282.5897436,0.723,2.6,11.2780855954611,0.659,2
124,Saudi Arabia,15.67665431,0.853,2.7,4.60640975782157,2.577,2
127,Seychelles,210.3521739,0.797,3.6,12.4439884733181,1.3829,2
131,South Africa,47.63011978,0.6990000000000001,2.8,8.138314696719151,0.9101,2
133,Sri Lanka,345.558922,0.77,3.6,15.274350662213099,1.0869,2
134,Suriname,3.69225,0.72,3.1,10.4049738017671,1.2265,2
139,Thailand,135.89720680000002,0.755,2.1,15.948996906884403,0.8096,2
141,Trinidad and Tobago,270.9274854,0.784,3.0,14.4454523712444,2.6697,2
142,Tunisia,74.44132338,0.735,2.3,11.768415830156,1.3307,2
143,Turkey,106.96012890000002,0.7909999999999999,2.7,12.187895582583597,1.7651,2
146,United Arab Emirates,135.6091101,0.863,1.2,1.34626095109496,2.3944,2
150,Uzbekistan,77.46920545,0.71,4.0,6.61602286403768,3.425,2
151,Venezuela,32.73079191,0.7609999999999999,0.8,10.053506504395902,1.94,2
152,Vietnam,308.1252459,0.6940000000000001,2.6,10.2448105030181,1.18,2
